,name,Longitude,Latitude
406,Westbound Robson St @ Bute St,-123.127216,49.286249
407,Westbound Robson St @ Broughton St,-123.130152,49.288152
408,Westbound Robson St @ Cardero St,-123.132542,49.289693
409,Southbound Denman St @ Robson St,-123.135926,49.29124
410,Southbound Denman St @ Barclay St,-123.137908,49.289924
411,Southbound Denman St @ Comox St,-123.140021,49.288522
412,Southbound Denman St @ Pendrell St,-123.141166,49.287773
413,Eastbound Davie St @ Denman St,-123.141124,49.286705
414,Eastbound Davie St @ Cardero St,-123.13847,49.285009
415,Eastbound Davie St @ Nicola St,-123.13726,49.284219
416,Eastbound Davie St @ Jervis St,-123.13477,49.282579
417,Eastbound Davie St @ Bute St,-123.132973,49.28144
418,Eastbound Davie St @ Thurlow St,-123.13096,49.280147
419,Dunbar Loop @ Bay 2,-123.18575,49.234593
420,Eastbound E 41 Ave @ Sophia St,-123.098854,49.232934
421,Eastbound E 41 Ave @ St. George St,-123.094138,49.23287
422,Eastbound E 41 Ave @ Fraser St,-123.090022,49.232769
423,Eastbound E 41 Ave @ Prince Albert St,-123.087361,49.232764
424,Eastbound E 41 Ave @ Windsor St,-123.08434,49.232721
425,Eastbound E 41 Ave @ Sherbrooke St,-123.080668,49.232677
426,Eastbound E 41 Ave @ Knight St,-123.076419,49.232598
427,Eastbound E 41 Ave @ Fleming St,-123.072487,49.23257
428,Eastbound E 41 Ave @ Bruce St,-123.069616,49.232543
429,Northbound Victoria Dr @ E 41 Ave,-123.065403,49.233152
430,Northbound Victoria Dr @ E 39 Ave,-123.065348,49.234784
431,Northbound Victoria Dr @ E 38 Ave,-123.065307,49.236203
432,Northbound Victoria Dr @ E 36 Ave,-123.065288,49.237698
433,Northbound Victoria Dr @ E 33 Ave,-123.065188,49.24032
434,Northbound Victoria Dr @ E 32 Ave,-123.065138,49.241893
435,Northbound Victoria Dr @ Kingsway,-123.065039,49.244828
436,Eastbound Kingsway @ Victoria Dr,-123.064604,49.244769
437,Eastbound Kingsway @ Nanaimo St,-123.057829,49.241611
438,Eastbound Kingsway @ Slocan St,-123.053631,49.23969
439,Northbound Slocan St @ Kingsway,-123.053651,49.24028
440,Northbound Slocan St @ Ward St,-123.052298,49.241686
