,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
3267,Corporate Stays | The Lauren | Cozy 1BR Apt,https://www.airbnb.com/rooms/48577269,,49.28434,-123.13376,130.0,Entire home/apt,,0.0,5.017592935229147e-05,0.0,0.0,0.0,0.0
3268,Corporate Stays | The Lauren | Luxurious 1BR Apt,https://www.airbnb.com/rooms/48577652,,49.2861,-123.13491,130.0,Entire home/apt,1.0,0.0,0.001197427647355206,0.0,0.0,0.0,0.0
3269,Corporate Stays | The Lauren | Classic 1BR Apt,https://www.airbnb.com/rooms/48577969,,49.2867,-123.13479,130.0,Entire home/apt,,0.0,0.018362299479215666,0.0,0.0,0.0,0.0
3270,Corporate Stays | The Lauren | Gorgeous 1BR,https://www.airbnb.com/rooms/48578263,,49.28611,-123.1335,130.0,Entire home/apt,,0.0,5.017592935229147e-05,0.0,0.0,0.0,0.0
3271,Corporate Stays | The Lauren | Spacious 1BR,https://www.airbnb.com/rooms/48578918,,49.28665,-123.13488,133.0,Entire home/apt,,0.0,0.016671997859160348,0.0,0.0,0.0,0.0
3272,Corporate Stays | The Lauren | Modern 1BR,https://www.airbnb.com/rooms/48579389,,49.28635,-123.13539,130.0,Entire home/apt,1.0,0.0,0.0073068697119274455,0.0,0.0,0.0,0.0
3273,Corporate Stays | The Lauren | Beautiful 1BR,https://www.airbnb.com/rooms/48579791,,49.28451,-123.13501,130.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3274,Upscale Vancouver Downtown Condo waterview/parking,https://www.airbnb.com/rooms/48587260,"Vancouver, British Columbia, Canada",49.27992,-123.10715,236.0,Entire home/apt,0.9560000000000001,0.012422360248447204,0.2711172716002149,0.16283185840707964,0.11104781690848775,0.007422827225811801,0.24744744744744746
3275,Waterfront Living Olympic Village,https://www.airbnb.com/rooms/48587553,,49.27226,-123.10715,293.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3276,Yaletown Exclusive Seawall Waterfront,https://www.airbnb.com/rooms/48589068,"Vancouver, British Columbia, Canada",49.27467,-123.11856,293.0,Entire home/apt,0.914,0.0,0.06119999916373451,0.08141592920353982,0.009080856482257146,0.0,0.0
3277,Coal Harbour Luxury Apartment,https://www.airbnb.com/rooms/48611956,"Vancouver, British Columbia, Canada",49.2868,-123.12484,215.0,Entire home/apt,0.9480000000000001,0.0,0.18848796927560593,0.0,0.05515531280367255,0.14209040535366943,0.0
3278,"Spacious 2 bedroom, 2 bathroom, heated pool & gym",https://www.airbnb.com/rooms/48627777,,49.27697,-123.12841,800.0,Entire home/apt,0.95,0.08385093167701864,0.23485941331794605,0.049557522123893805,0.05304426498676407,0.0,0.0
